City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Tomatlan,MX,2021-12-23 23:55:43,19.9333,-105.25,76.96,65,0,4.65
233,Bandarbeyla,SO,2021-12-23 23:55:43,9.4942,50.8122,73.6,75,84,13.2
234,Laguna,US,2021-12-23 23:55:44,38.421,-121.4238,58.91,91,90,4.0
235,Palembang,ID,2021-12-23 23:55:44,-2.9167,104.7458,77.09,94,20,2.3
236,Avarua,CK,2021-12-23 23:55:45,-21.2078,-159.775,80.65,78,20,13.8
237,Sao Joao Da Barra,BR,2021-12-23 23:55:45,-21.6403,-41.0511,73.69,76,100,17.63
238,Svobodnyy,RU,2021-12-23 23:55:45,51.4,128.1333,-28.39,92,46,5.55
239,Mantua,IT,2021-12-23 23:55:46,45.1667,10.7833,38.44,91,99,4.65
240,Safranbolu,TR,2021-12-23 23:55:46,41.2508,32.6942,20.5,91,89,2.48
241,Bolu,TR,2021-12-23 23:55:47,40.6667,31.5833,14.07,92,31,4.45
242,Kampot,KH,2021-12-23 23:55:47,10.6167,104.1833,77.05,90,95,5.68
243,Te Anau,NZ,2021-12-23 23:55:47,-45.4167,167.7167,62.11,41,39,4.54
244,Bratsk,RU,2021-12-23 23:55:48,56.1325,101.6142,-24.66,93,5,3.06
245,Pevek,RU,2021-12-23 23:55:48,69.7008,170.3133,-20.33,98,100,1.81
246,Namatanai,PG,2021-12-23 23:55:49,-3.6667,152.4333,83.68,76,99,9.26
247,Neiafu,TO,2021-12-23 23:55:49,-18.65,-173.9833,86.68,62,20,9.22
248,Yerbogachen,RU,2021-12-23 23:55:50,61.2767,108.0108,-10.73,89,100,7.31
249,Ellisras,ZA,2021-12-23 23:55:50,-23.6649,27.7443,68.77,70,28,3.42
250,Orlik,RU,2021-12-23 23:55:50,52.5178,99.825,-26.82,95,63,2.06
251,Birjand,IR,2021-12-23 23:55:51,32.8663,59.2211,37.87,30,0,13.8
252,Bairiki,KI,2021-12-23 23:55:51,1.3292,172.9752,86.0,70,40,10.36
253,Kieta,PG,2021-12-23 23:55:52,-6.2167,155.6333,86.32,70,100,2.91
254,Gimli,CA,2021-12-23 23:55:52,50.6336,-96.9907,15.82,86,99,6.91
255,Sumbe,AO,2021-12-23 23:55:53,-11.2061,13.8437,75.27,80,64,4.41
256,Soke,ML,2021-12-23 23:55:53,13.598,-5.9386,73.15,16,38,9.13
257,Xichang,CN,2021-12-23 23:55:54,27.8964,102.2634,43.65,93,89,1.54
258,Victoria,HK,2021-12-23 23:52:31,22.2855,114.1577,67.95,90,100,1.99
259,Nabire,ID,2021-12-23 23:55:06,-3.3667,135.4833,82.45,71,86,0.74
260,Ekibastuz,KZ,2021-12-23 23:55:54,51.6667,75.3667,26.94,79,82,22.7
261,Lagoa,PT,2021-12-23 23:55:55,39.05,-27.9833,60.4,73,100,27.29
262,Kodiak,US,2021-12-23 23:55:55,57.79,-152.4072,38.1,66,0,21.94
263,Cabra,ES,2021-12-23 23:55:56,37.4725,-4.4421,57.4,88,100,4.5
264,Palmer,US,2021-12-23 23:51:06,42.1584,-72.3287,29.01,51,40,11.5
265,Altagracia De Orituco,VE,2021-12-23 23:55:57,9.8601,-66.3814,75.69,83,99,5.75
266,Teya,RU,2021-12-23 23:57:01,60.3778,92.6267,-15.75,93,67,3.22
267,Tura,IN,2021-12-23 23:57:02,25.5198,90.2201,54.68,63,0,3.49
268,Boa Vista,BR,2021-12-23 23:55:48,2.8197,-60.6733,84.18,70,40,3.44
269,Ancud,CL,2021-12-23 23:57:02,-41.8697,-73.8203,65.73,80,3,7.31
270,Port-Gentil,GA,2021-12-23 23:57:03,-0.7193,8.7815,78.57,86,100,8.46
271,Kudat,MY,2021-12-23 23:57:03,6.8837,116.8477,78.73,89,40,4.61
272,Imperia,IT,2021-12-23 23:57:04,43.9667,7.7833,46.0,83,15,6.04
273,Nuuk,GL,2021-12-23 23:52:54,64.1835,-51.7216,24.67,91,75,11.63
274,Bathsheba,BB,2021-12-23 23:57:04,13.2167,-59.5167,79.41,83,75,13.8
275,Almeirim,BR,2021-12-23 23:57:05,-1.5233,-52.5817,78.85,82,85,3.91
276,Avera,US,2021-12-23 23:57:05,33.194,-82.5271,49.71,45,0,4.47
277,Codrington,AU,2021-12-23 23:57:06,-38.2667,141.9667,72.59,41,16,8.23
278,Hambantota,LK,2021-12-23 23:57:06,6.1241,81.1185,73.74,100,20,8.05
279,Nantucket,US,2021-12-23 23:57:07,41.2835,-70.0995,31.96,47,12,19.86
280,Ejido,VE,2021-12-23 23:57:07,8.5514,-71.2375,69.42,92,98,0.43
281,Simplicio Mendes,BR,2021-12-23 23:57:08,-7.8539,-41.9103,74.17,87,100,1.05
282,Quatre Cocos,MU,2021-12-23 23:57:08,-20.2078,57.7625,79.09,82,95,9.28
283,Muisne,EC,2021-12-23 23:57:08,0.6,-80.0333,75.31,86,79,7.25
284,Usinsk,RU,2021-12-23 23:57:09,65.9939,57.5281,-11.51,94,30,9.84
285,Los Llanos De Aridane,ES,2021-12-23 23:57:09,28.6585,-17.9182,60.55,84,0,8.01
286,Longyearbyen,SJ,2021-12-23 23:57:10,78.2186,15.6401,10.24,56,20,17.27
287,Garowe,SO,2021-12-23 23:57:10,8.4054,48.4845,64.67,85,30,7.78
288,Havelock,US,2021-12-23 23:57:10,34.8791,-76.9013,42.94,78,0,3.18
289,Suffolk,US,2021-12-23 23:57:11,40.8668,-72.7996,34.41,57,77,1.01
290,Paragominas,BR,2021-12-23 23:55:12,-2.9667,-47.4833,76.32,87,96,1.32
291,Grootfontein,NA,2021-12-23 23:57:11,-19.5667,18.1167,69.89,21,0,9.55
292,Dunedin,NZ,2021-12-23 23:57:12,-45.8742,170.5036,58.8,77,96,3.0
293,Tarakan,ID,2021-12-23 23:54:06,3.3,117.6333,80.1,83,20,3.44
